City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nishihara,JP,26.1842,127.7558,81.68,89,20,4.61,few clouds
1,Alofi,NU,-19.0595,-169.9187,75.09,88,40,11.5,scattered clouds
2,Dikson,RU,73.5069,80.5464,42.71,87,72,7.83,broken clouds
3,Codrington,AU,-38.2667,141.9667,54.66,72,79,20.6,broken clouds
4,Olinda,BR,-8.0089,-34.8553,76.73,83,75,5.75,broken clouds
5,Busselton,AU,-33.65,115.3333,55.62,53,96,29.24,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,72.14,77,83,21.72,light rain
7,Cape Town,ZA,-33.9258,18.4232,56.1,89,0,8.99,clear sky
8,Mangai,CD,-4.05,19.5333,79.48,50,90,3.0,overcast clouds
9,Thompson,CA,55.7435,-97.8558,59.16,88,100,8.05,overcast clouds
10,Bluff,NZ,-46.6,168.3333,44.8,75,52,34.34,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,49.96,85,53,2.44,broken clouds
12,Ushuaia,AR,-54.8,-68.3,38.82,93,75,9.22,light rain
13,Nemencine,LT,54.85,25.4833,61.32,90,10,2.3,clear sky
14,Leningradskiy,RU,69.3833,178.4167,57.04,53,100,7.0,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,50.47,67,42,16.46,scattered clouds
16,Castro,BR,-24.7911,-50.0119,64.9,53,0,1.83,clear sky
17,Umm Lajj,SA,25.0213,37.2685,87.57,48,41,2.62,scattered clouds
18,Albany,US,42.6001,-73.9662,88.57,49,24,1.01,few clouds
19,La Paz,BO,-16.5,-68.15,66.18,19,20,12.66,few clouds
20,Mataura,NZ,-46.1927,168.8643,44.47,72,95,10.42,overcast clouds
21,Ribeira Grande,PT,38.5167,-28.7,75.6,83,75,8.05,broken clouds
22,Vryburg,ZA,-26.9566,24.7284,53.28,82,100,10.18,moderate rain
23,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,8.05,light rain
24,Port Keats,AU,-14.25,129.55,69.87,84,13,0.83,few clouds
25,Pringsewu,ID,-5.3582,104.9744,73.26,97,98,2.35,overcast clouds
26,Myre,NO,69.1036,15.9492,50.9,76,96,3.29,overcast clouds
