City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,54.61,61,1,12.17,NZ,2022-08-02 02:43:18
1,Ushuaia,-54.8,-68.3,47.86,57,20,11.5,AR,2022-08-02 02:40:33
2,Stjordalshalsen,63.4681,10.9262,43.92,100,75,9.22,NO,2022-08-02 02:43:19
3,Luderitz,-26.6481,15.1594,52.43,79,19,1.16,NA,2022-08-02 02:43:19
4,Nabire,-3.3667,135.4833,85.91,62,97,5.08,ID,2022-08-02 02:43:11
5,Dikson,73.5069,80.5464,41.34,87,100,6.64,RU,2022-08-02 02:43:21
6,Puerto Ayora,-0.7393,-90.3518,70.56,94,61,10.0,EC,2022-08-02 02:43:08
7,Carnarvon,-24.8667,113.6333,66.54,59,92,15.46,AU,2022-08-02 02:43:21
8,Nanortalik,60.1432,-45.2371,45.45,73,100,10.92,GL,2022-08-02 02:43:22
9,Faanui,-16.4833,-151.75,78.6,69,3,21.65,PF,2022-08-02 02:43:22
10,Chokurdakh,70.6333,147.9167,59.38,58,86,5.75,RU,2022-08-02 02:43:23
11,Hermanus,-34.4187,19.2345,45.81,68,0,7.9,ZA,2022-08-02 02:43:23
12,Hithadhoo,-0.6,73.0833,80.65,72,64,12.64,MV,2022-08-02 02:43:23
13,Labuhan,-6.8844,112.2051,84.74,66,67,7.85,ID,2022-08-02 02:43:24
14,Santiago De Cao,-7.9589,-79.2392,60.93,88,100,10.36,PE,2022-08-02 02:43:24
15,Ponta Do Sol,32.6667,-17.1,70.72,80,4,4.36,PT,2022-08-02 02:43:13
16,Auki,-8.7676,160.7034,85.95,61,35,3.51,SB,2022-08-02 02:43:25
17,Dingzhou,38.5131,114.9956,89.71,58,0,7.36,CN,2022-08-02 02:43:25
18,Cape Town,-33.9258,18.4232,54.37,80,0,1.14,ZA,2022-08-02 02:43:26
19,Georgetown,5.4112,100.3354,85.95,84,20,3.44,MY,2022-08-02 02:42:53
20,Rikitea,-23.1203,-134.9692,73.26,73,8,25.28,PF,2022-08-02 02:43:27
21,Palmer,42.1584,-72.3287,70.52,85,20,5.75,US,2022-08-02 02:43:27
22,San Cristobal,7.7669,-72.225,69.98,96,100,1.66,VE,2022-08-02 02:43:28
23,Punta Arenas,-53.15,-70.9167,46.51,61,75,10.36,CL,2022-08-02 02:41:29
24,Fenoarivo Atsinanana,-17.3667,49.4167,67.01,88,93,8.46,MG,2022-08-02 02:43:28
25,New Norfolk,-42.7826,147.0587,57.92,54,44,9.44,AU,2022-08-02 02:43:29
26,Barrow,71.2906,-156.7887,41.02,87,100,12.66,US,2022-08-02 02:43:29
27,Butaritari,3.0707,172.7902,81.97,75,82,21.25,KI,2022-08-02 02:43:29
28,Tasiilaq,65.6145,-37.6368,41.16,62,3,3.67,GL,2022-08-02 02:43:30
29,Severo-Kurilsk,50.6789,156.125,56.37,81,23,4.07,RU,2022-08-02 02:43:30
30,Souillac,-20.5167,57.5167,66.58,94,40,5.75,MU,2022-08-02 02:43:31
31,Upernavik,72.7868,-56.1549,44.76,73,100,3.65,GL,2022-08-02 02:43:31
32,Hilo,19.7297,-155.09,82.27,77,75,9.22,US,2022-08-02 02:43:31
33,Ribeira Grande,38.5167,-28.7,74.23,73,1,10.83,PT,2022-08-02 02:43:32
34,Linguere,15.3953,-15.1193,80.06,74,36,10.49,SN,2022-08-02 02:43:32
35,Sao Filipe,14.8961,-24.4956,75.79,85,53,7.94,CV,2022-08-02 02:43:16
36,Guerrero Negro,27.9769,-114.0611,73.4,71,0,13.98,MX,2022-08-02 02:39:13
37,Iskateley,67.6803,53.1512,62.4,89,62,9.44,RU,2022-08-02 02:43:33
38,Antofagasta,-23.65,-70.4,56.48,87,41,4.92,CL,2022-08-02 02:39:13
39,Nagorsk,59.3172,50.8078,60.73,89,95,4.41,RU,2022-08-02 02:43:33
40,Hobyo,5.3505,48.5268,75.07,82,6,18.66,SO,2022-08-02 02:43:34
41,Laguna,38.421,-121.4238,85.05,57,0,8.05,US,2022-08-02 02:43:34
42,Hearst,49.6835,-83.6665,53.85,98,100,5.3,CA,2022-08-02 02:43:35
43,Tura,25.5198,90.2201,80.01,87,100,3.18,IN,2022-08-02 02:43:35
44,Vaini,-21.2,-175.2,80.76,89,75,8.05,TO,2022-08-02 02:43:35
45,Rafraf,37.1904,10.1837,75.51,73,0,9.82,TN,2022-08-02 02:43:36
46,Cayenne,4.9333,-52.3333,83.08,1,0,0.0,GF,2022-08-02 02:43:36
47,Areosa,41.7178,-8.8571,67.57,75,0,4.99,PT,2022-08-02 02:43:37
48,Champerico,14.3,-91.9167,82.06,80,16,3.67,GT,2022-08-02 02:43:37
49,Sabang,5.8933,95.3214,80.17,84,100,30.42,ID,2022-08-02 02:44:37
50,Amiens,49.9,2.3,61.05,83,100,4.99,FR,2022-08-02 02:44:38
51,Hamilton,39.1834,-84.5333,79.0,90,20,1.01,US,2022-08-02 02:42:04
52,Kapaa,22.0752,-159.319,89.58,66,40,20.71,US,2022-08-02 02:44:39
53,Mar Del Plata,-38.0023,-57.5575,53.1,81,0,5.01,AR,2022-08-02 02:44:39
54,Castro,-24.7911,-50.0119,57.9,75,80,1.21,BR,2022-08-02 02:44:40
55,Poum,-20.2333,164.0167,76.23,81,22,12.1,NC,2022-08-02 02:44:40
56,Yellowknife,62.456,-114.3525,68.52,32,20,8.05,CA,2022-08-02 02:44:40
57,Beringovskiy,63.05,179.3167,53.78,72,13,9.42,RU,2022-08-02 02:44:41
58,Touros,-5.1989,-35.4608,73.17,85,12,12.15,BR,2022-08-02 02:41:55
59,Almaznyy,48.0448,40.045,72.72,52,47,6.33,RU,2022-08-02 02:44:42
60,Saskylakh,71.9167,114.0833,44.87,65,100,11.52,RU,2022-08-02 02:44:42
61,Busselton,-33.65,115.3333,54.39,68,94,25.39,AU,2022-08-02 02:44:43
62,Sorland,67.667,12.6934,49.86,76,100,12.62,NO,2022-08-02 02:44:43
63,Qaanaaq,77.484,-69.3632,42.76,68,42,5.79,GL,2022-08-02 02:44:43
64,Provideniya,64.3833,-173.3,48.31,87,0,11.18,RU,2022-08-02 02:44:44
65,Mount Gambier,-37.8333,140.7667,56.93,54,100,15.28,AU,2022-08-02 02:44:44
66,Torbay,47.6666,-52.7314,68.77,75,75,10.36,CA,2022-08-02 02:42:05
67,Fondi,41.3541,13.4313,78.82,50,0,4.12,IT,2022-08-02 02:44:45
68,Jamestown,42.097,-79.2353,74.79,64,0,9.22,US,2022-08-02 02:44:45
69,Ahipara,-35.1667,173.1667,59.04,65,100,7.02,NZ,2022-08-02 02:44:46
